row	symbol	prevSymbols	synonyms	name	refSeqName	hgnc_id
1247	MN1	MGCR	MGCR1-PEN,MGCR1	MN1 proto-oncogene, transcriptional regulator	MN1	HGNC:7180
1248	KLK4	PRSS17	EMSP,EMSP1,PSTS,KLK-L1	kallikrein related peptidase 4	KLK4	HGNC:6365
1249	PRRX2	NA	PRX2,PMX2	paired related homeobox 2	PRRX2	HGNC:21338
1250	TGFB3	ARVD1,ARVD	NA	transforming growth factor beta 3	TGFB3	HGNC:11769
1251	SMAD3	MADH3	JV15-2,HST17436	SMAD family member 3	SMAD3	HGNC:6769
1252	NPAP1	C15ORF2	NA	nuclear pore associated protein 1	NPAP1	HGNC:1190
1253	TMEM86A	NA	FLJ90119	transmembrane protein 86A	TMEM86A	HGNC:26890
1254	DNAJC6	NA	KIAA0473,PARK19	DnaJ heat shock protein family (Hsp40) member C6	DNAJC6	HGNC:15469
1255	FMOD	NA	SLRR2E	fibromodulin	FMOD	HGNC:3774
1256	DYM	NA	FLJ20071,DMC,SMC	dymeclin	DYM	HGNC:21317
1257	HOXD13	HOX4I,SPD	NA	homeobox D13	HOXD13	HGNC:5136
1258	TFF1	BCEI	D21S21,HPS2,PS2,PNR-2,HP1.A	trefoil factor 1	TFF1	HGNC:11755
1259	SLC19A1	NA	FOLT,RFC1	solute carrier family 19 member 1	SLC19A1	HGNC:10937
1260	RGS3	NA	C2PA,FLJ20370,PDZ-RGS3	regulator of G protein signaling 3	RGS3	HGNC:9999
1261	IL17A	CTLA8,IL17	IL-17A,IL-17	interleukin 17A	IL17A	HGNC:5981
1262	B2M	NA	NA	beta-2-microglobulin	B2M	HGNC:914
1263	RPL10	NA	NOV,QM,DXS648E,DXS648,FLJ23544,L10	ribosomal protein L10	RPL10	HGNC:10298
1264	RAP1B	NA	K-REV,RAL1B,DKFZP586H0723	RAP1B, member of RAS oncogene family	RAP1B	HGNC:9857
1265	MAML2	NA	KIAA1819,MAM3	mastermind like transcriptional coactivator 2	MAML2	HGNC:16259
1266	KPNA5	NA	SRP6,IPOA6	karyopherin subunit alpha 5	KPNA5	HGNC:6398
1267	IL22RA1	IL22R	CRF2-9	interleukin 22 receptor subunit alpha 1	IL22RA1	HGNC:13700
1268	MLLT3	NA	AF-9,AF9,YEATS3	MLLT3, super elongation complex subunit	MLLT3	HGNC:7136
1269	FGF10	NA	NA	fibroblast growth factor 10	FGF10	HGNC:3666
1270	RRM1	NA	NA	ribonucleotide reductase catalytic subunit M1	RRM1	HGNC:10451
1271	RMRP	CHH	NME1	RNA component of mitochondrial RNA processing endoribonuclease	RMRP	HGNC:7849
1272	IL21R	NA	CD360	interleukin 21 receptor	IL21R	HGNC:6006
1273	IFRD2	NA	SKMC15,SM15,IFNRP	interferon related developmental regulator 2	IFRD2	HGNC:5457
1274	STK4	NA	MST1,KRS2,YSK3	serine/threonine kinase 4	STK4	HGNC:11408
1275	MIRLET7G	MIRNLET7G	HSA-LET-7G	microRNA let-7g	MIRLET7G	HGNC:31485
1276	MAP2K4	SERK1	MEK4,JNKK1,PRKMK4,MKK4	mitogen-activated protein kinase kinase 4	MAP2K4	HGNC:6844
1277	HSP90B1	TRA1	GP96,GRP94	heat shock protein 90 beta family member 1	HSP90B1	HGNC:12028
1278	METAP2	NA	MNPEP,P67,MAP2	methionyl aminopeptidase 2	METAP2	HGNC:16672
1279	PNMA1	NA	MA1	PNMA family member 1	PNMA1	HGNC:9158
1280	SKIL	NA	SNO,SNON,SNOA	SKI like proto-oncogene	SKIL	HGNC:10897
1281	ARNT	NA	HIF-1BETA,BHLHE2	aryl hydrocarbon receptor nuclear translocator	ARNT	HGNC:700
1282	ETV5	NA	ERM	ETS variant 5	ETV5	HGNC:3494
1283	ASPSCR1	NA	ASPS,ASPL,UBXD9,UBXN9,TUG	ASPSCR1, UBX domain containing tether for SLC2A4	ASPSCR1	HGNC:13825
1284	NAT2	AAC2	NA	N-acetyltransferase 2	NAT2	HGNC:7646
1285	PPARG	NA	PPARG1,PPARG2,NR1C3,PPARGAMMA	peroxisome proliferator activated receptor gamma	PPARG	HGNC:9236
1286	TLX3	HOX11L2	RNX	T cell leukemia homeobox 3	TLX3	HGNC:13532
1287	TRIM27	RFP	RNF76	tripartite motif containing 27	TRIM27	HGNC:9975
1288	PAFAH1B2	NA	NA	platelet activating factor acetylhydrolase 1b catalytic subunit 2	PAFAH1B2	HGNC:8575
1289	ACSL3	FACL3	ACS3,PRO2194	acyl-CoA synthetase long chain family member 3	ACSL3	HGNC:3570
1290	IGFBP5	NA	NA	insulin like growth factor binding protein 5	IGFBP5	HGNC:5474
1291	KAT5	HTATIP	TIP60,PLIP,CPLA2,HTATIP1,ESA1,ZC2HC5	lysine acetyltransferase 5	KAT5	HGNC:5275
1292	EIF3C	EIF3S8	EIF3-P110,EIF3C	eukaryotic translation initiation factor 3 subunit C	EIF3C	HGNC:3279
1293	SNAI1	NA	SNA,SLUGH2,SNAH,SNAIL1,SNAIL	snail family transcriptional repressor 1	SNAI1	HGNC:11128
1294	CLIC4	NA	DKFZP566G223,CLIC4L,P64H1,H1,HUH1	chloride intracellular channel 4	CLIC4	HGNC:13518
1295	CDC27	D0S1430E,D17S978E	APC3,ANAPC3,NUC2	cell division cycle 27	CDC27	HGNC:1728
1296	NSD2	WHSC1	MMSET,KMT3G	nuclear receptor binding SET domain protein 2	WHSC1	HGNC:12766
1297	ARID1B	NA	KIAA1235,ELD/OSA1,P250R,BAF250B,DAN15,6A3-5	AT-rich interaction domain 1B	ARID1B	HGNC:18040
1298	VCAN	CSPG2	PG-M	versican	VCAN	HGNC:2464
1299	AKAP12	NA	AKAP250,SSECKS	A-kinase anchoring protein 12	AKAP12	HGNC:370
1300	RLF	NA	ZNF292L,ZN-15L	rearranged L-myc fusion	RLF	HGNC:10025
1301	RSPH1	TSGA2	FLJ32753,RSP44,RSPH10A,CILD24	radial spoke head 1 homolog	RSPH1	HGNC:12371
1302	SLAMF6	NA	KALI,NTBA,KALIB,LY108,SF2000,NTB-A,CD352	SLAM family member 6	SLAMF6	HGNC:21392
1303	THBS3	NA	NA	thrombospondin 3	THBS3	HGNC:11787
1304	TCL6	NA	TCL6E1,TNG2,TNG1	T cell leukemia/lymphoma 6 (non-protein coding)	TCL6	HGNC:13463
1305	SYNPO2	NA	MYOPODIN	synaptopodin 2	SYNPO2	HGNC:17732
1306	GPHN	NA	KIAA1385	gephyrin	GPHN	HGNC:15465
1307	TNFSF13B	TNFSF20	BAFF,THANK,BLYS,TALL-1,TALL1,CD257	TNF superfamily member 13b	TNFSF13B	HGNC:11929
1308	MAPK10	PRKM10	JNK3,P493F12,P54BSAPK	mitogen-activated protein kinase 10	MAPK10	HGNC:6872
1309	MAMDC4	NA	AEGP,DKFZP434M1411	MAM domain containing 4	MAMDC4	HGNC:24083
1310	IKZF1	ZNFN1A1	HIK-1,LYF-1,HS.54452,IKAROS,PPP1R92	IKAROS family zinc finger 1	IKZF1	HGNC:13176
1311	PTPN21	NA	PTPD1,PTPRL10	protein tyrosine phosphatase, non-receptor type 21	PTPN21	HGNC:9651
1312	JDP2	JUNDM2	NA	Jun dimerization protein 2	JDP2	HGNC:17546
1313	WNT6	NA	NA	Wnt family member 6	WNT6	HGNC:12785
1314	EDRF1	C10ORF137	DKFZP586F1019,FLJ21617	erythroid differentiation regulatory factor 1	EDRF1	HGNC:24640
1315	LHFPL6	LHFP	MGC22429	LHFPL tetraspan subfamily member 6	LHFP	HGNC:6586
1316	GPA33	NA	A33	glycoprotein A33	GPA33	HGNC:4445
1317	RHOC	ARH9,ARHC	RHOC	ras homolog family member C	RHOC	HGNC:669
1318	RALB	NA	NA	RAS like proto-oncogene B	RALB	HGNC:9840
1319	RRAS2	NA	TC21	RAS related 2	RRAS2	HGNC:17271
1320	SEPT5	PNUTL1	HCDCREL-1,H5	septin 5	SEPT5	HGNC:9164
1321	TNFRSF11B	OPG	OCIF,TR1	TNF receptor superfamily member 11b	TNFRSF11B	HGNC:11909
1322	KRT26	KRT25B	NA	keratin 26	KRT26	HGNC:30840
1323	IGFBP2	IBP2	NA	insulin like growth factor binding protein 2	IGFBP2	HGNC:5471
1324	ME3	NA	NA	malic enzyme 3	ME3	HGNC:6985
1325	MIF	GLIF	GIF	macrophage migration inhibitory factor	MIF	HGNC:7097
1326	KIF14	NA	KIAA0042	kinesin family member 14	KIF14	HGNC:19181
1327	PBX2	NA	G17,HOX12,PBX2MHC	PBX homeobox 2	PBX2	HGNC:8633
1328	BMI1	PCGF4	RNF51	BMI1 proto-oncogene, polycomb ring finger	BMI1	HGNC:1066
1329	PMS1	PMSL1	MLH2	PMS1 homolog 1, mismatch repair system component	PMS1	HGNC:9121
1330	TCL1B	NA	TML1	T cell leukemia/lymphoma 1B	TCL1B	HGNC:11649
1331	IL17RB	IL17BR	IL17RH1,EVI27,CRL4	interleukin 17 receptor B	IL17RB	HGNC:18015
1332	CNBP	DM2,ZNF9	RNF163,ZCCHC22,CNBP1	CCHC-type zinc finger nucleic acid binding protein	CNBP	HGNC:13164
1333	GGH	NA	NA	gamma-glutamyl hydrolase	GGH	HGNC:4248
1334	FGFR2	KGFR,BEK,CFD1,JWS	CEK3,TK14,TK25,ECT1,K-SAM,CD332	fibroblast growth factor receptor 2	FGFR2	HGNC:3689
1335	NCAPD2	NA	CNAP1,HCAP-D2,CAP-D2,KIAA0159	non-SMC condensin I complex subunit D2	NCAPD2	HGNC:24305
1336	MYB	NA	C-MYB	MYB proto-oncogene, transcription factor	MYB	HGNC:7545
1337	PDX1	IPF1	IDX-1,STF-1,PDX-1,MODY4	pancreatic and duodenal homeobox 1	PDX1	HGNC:6107
1338	ZBTB33	NA	ZNF-KAISO,KAISO,WUGSC:H_DJ525N14.1,ZNF348	zinc finger and BTB domain containing 33	ZBTB33	HGNC:16682
1339	ZMYM2	ZNF198	RAMP,FIM,MYM	zinc finger MYM-type containing 2	ZMYM2	HGNC:12989
1340	MTUS1	NA	MTSG1,KIAA1288,DKFZP586D1519,FLJ14295,ATIP1,MP44,ATBP,ICIS,ATIP3	microtubule associated scaffold protein 1	MTUS1	HGNC:29789
1341	KIT	PBT	CD117,SCFR,C-KIT	KIT proto-oncogene receptor tyrosine kinase	KIT	HGNC:6342
1342	ARF6	NA	NA	ADP ribosylation factor 6	ARF6	HGNC:659
1343	STAT6	NA	D12S1644,IL-4-STAT	signal transducer and activator of transcription 6	STAT6	HGNC:11368
1344	KLF5	BTEB2	IKLF,CKLF	Kruppel like factor 5	KLF5	HGNC:6349
1345	PHIP	WDR11	NDRP,FLJ20705,DCAF14,BRWD2	pleckstrin homology domain interacting protein	PHIP	HGNC:15673
1346	MIB2	ZZANK1	SKELETROPHIN,ZZZ5,FLJ39787	mindbomb E3 ubiquitin protein ligase 2	MIB2	HGNC:30577
1347	SELE	ELAM1,ELAM	ESEL,CD62E	selectin E	SELE	HGNC:10718
1348	RHBDF2	RHBDL6,TOC	FLJ22341,RHBDL5,TOCG,IRHOM2	rhomboid 5 homolog 2	RHBDF2	HGNC:20788
1349	DIRC2	NA	FLJ14784,RCC4	disrupted in renal carcinoma 2	DIRC2	HGNC:16628
1350	THPO	MGDF	TPO,MPLLG	thrombopoietin	THPO	HGNC:11795
1351	E2F4	NA	E2F-4	E2F transcription factor 4	E2F4	HGNC:3118
1352	ZNF668	NA	FLJ13479	zinc finger protein 668	ZNF668	HGNC:25821
1353	CBX4	NA	HPC2,PC2,NBP16	chromobox 4	CBX4	HGNC:1554
1354	GOPC	NA	DJ94G16.2,PIST,FIG,GOPC1,CAL	golgi associated PDZ and coiled-coil motif containing	GOPC	HGNC:17643
1355	ZFYVE26	SPG15	KIAA0321	zinc finger FYVE-type containing 26	ZFYVE26	HGNC:20761
1356	ZFP36	NA	RNF162A,TIS11,G0S24,TTP,NUP475	ZFP36 ring finger protein	ZFP36	HGNC:12862
1357	RBL2	NA	RB2,P130	RB transcriptional corepressor like 2	RBL2	HGNC:9894
1358	AKT2	NA	NA	AKT serine/threonine kinase 2	AKT2	HGNC:392
1359	CDK1	CDC2	CDC28A	cyclin dependent kinase 1	CDK1	HGNC:1722
1360	NKAIN2	TCBA1	FAM77B	sodium/potassium transporting ATPase interacting 2	NKAIN2	HGNC:16443
1361	NAT1	AAC1	NA	N-acetyltransferase 1	NAT1	HGNC:7645
1362	SLC16A3	NA	MCT3,MCT4	solute carrier family 16 member 3	SLC16A3	HGNC:10924
1363	SMARCA4	SNF2L4	HSNF2B,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SMARCA4	HGNC:11100
1364	CORO1A	NA	HCORO1,P57,CORONIN-1	coronin 1A	CORO1A	HGNC:2252
1365	RRP9	RNU3IP2	U3-55K	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	RRP9	HGNC:16829
1366	PTTG1IP	C21ORF3,C21ORF1	PBF	PTTG1 interacting protein	PTTG1IP	HGNC:13524
1367	FLT1	FLT	VEGFR1	fms related tyrosine kinase 1	FLT1	HGNC:3763
1368	RTN4	NA	NSP-CL,KIAA0886,NOGO,ASY	reticulon 4	RTN4	HGNC:14085
1369	KTN1	NA	KIAA0004,CG1,KNT	kinectin 1	KTN1	HGNC:6467
1370	CASP9	NA	MCH6,ICE-LAP6,APAF-3,PPP1R56	caspase 9	CASP9	HGNC:1511
1371	SNAI2	SLUG	SLUGH1,SNAIL2,SLUGH	snail family transcriptional repressor 2	SNAI2	HGNC:11094
1372	MAP3K1	MEKK1	MEKK,MAPKKK1	mitogen-activated protein kinase kinase kinase 1	MAP3K1	HGNC:6848
1373	IL1B	NA	IL1F2,IL-1B,IL1-BETA	interleukin 1 beta	IL1B	HGNC:5992
1374	COX19	NA	MGC104475	COX19, cytochrome c oxidase assembly factor	COX19	HGNC:28074
1375	CAPG	AFCP	MCP	capping actin protein, gelsolin like	CAPG	HGNC:1474
1376	GLI3	GCPS,PHS	PAP-A,PAPA,PAPA1,PAPB,ACLS,PPDIV	GLI family zinc finger 3	GLI3	HGNC:4319
1377	GLB1	ELNR1	EBP	galactosidase beta 1	GLB1	HGNC:4298
1378	PECAM1	NA	CD31	platelet and endothelial cell adhesion molecule 1	PECAM1	HGNC:8823
1379	CDC25B	NA	NA	cell division cycle 25B	CDC25B	HGNC:1726
1380	CCDC6	TST1,D10S170	PTC,TPC,H4	coiled-coil domain containing 6	CCDC6	HGNC:18782
1381	ESRRG	NA	NR3B3,ERRG,ERR-GAMMA	estrogen related receptor gamma	ESRRG	HGNC:3474
1382	KIAA1147	NA	LCHN	KIAA1147	KIAA1147	HGNC:29472
1383	MUC17	NA	NA	mucin 17, cell surface associated	MUC17	HGNC:16800
1384	IL6ST	NA	GP130,CD130	interleukin 6 signal transducer	IL6ST	HGNC:6021
1385	CBFA2T3	NA	MTGR2,ZMYND4,MTG16,RUNX1T3,ETO2	CBFA2/RUNX1 translocation partner 3	CBFA2T3	HGNC:1537
1386	MAP3K6	NA	MAPKKK6,ASK2,MEKK6	mitogen-activated protein kinase kinase kinase 6	MAP3K6	HGNC:6858
1387	GFI1	ZNF163	GFI1A,GFI-1	growth factor independent 1 transcriptional repressor	GFI1	HGNC:4237
1388	AIFM1	PDCD8,NAMSD	AIF,CMTX4	apoptosis inducing factor mitochondria associated 1	AIFM1	HGNC:8768
1389	TACC3	NA	ERIC1	transforming acidic coiled-coil containing protein 3	TACC3	HGNC:11524
1390	PROS1	PROS	NA	protein S	PROS1	HGNC:9456
1391	CDKN2A	CDKN2,MLM	CDK4I,P16,INK4A,MTS1,CMM2,ARF,P19,P14,INK4,P16INK4A,P19ARF,P14ARF	cyclin dependent kinase inhibitor 2A	CDKN2A	HGNC:1787
1392	TNFRSF8	CD30,D1S166E	KI-1	TNF receptor superfamily member 8	TNFRSF8	HGNC:11923
1393	PHF20	C20ORF104	DJ1121G12.1,TDRD20A	PHD finger protein 20	PHF20	HGNC:16098
1394	PSAP	SAP1,GLBA	NA	prosaposin	PSAP	HGNC:9498
1395	EGFL6	MAEG	NA	EGF like domain multiple 6	EGFL6	HGNC:3235
1396	SLC38A1	NA	ATA1,NAT2,SAT1	solute carrier family 38 member 1	SLC38A1	HGNC:13447
1397	PUS10	CCDC139	FLJ32312	pseudouridylate synthase 10	PUS10	HGNC:26505
1398	BRD2	BRD2-IT1	KIAA9001,RING3,D6S113E,NAT,FSRG1	bromodomain containing 2	BRD2	HGNC:1103
1399	TFAP2A	TFAP2,AP2TF	AP-2	transcription factor AP-2 alpha	TFAP2A	HGNC:11742
1400	ZC3H8	ZC3HDC8	FLIZ1	zinc finger CCCH-type containing 8	ZC3H8	HGNC:30941
1401	TRIO	NA	ARHGEF23	trio Rho guanine nucleotide exchange factor	TRIO	HGNC:12303
1402	MIXL1	NA	MILD1,MIXL	Mix paired-like homeobox	MIXL1	HGNC:13363
1403	NSD1	STO	ARA267,FLJ22263,KMT3B	nuclear receptor binding SET domain protein 1	NSD1	HGNC:14234
1404	ELF4	NA	MEF,ELFR	E74 like ETS transcription factor 4	ELF4	HGNC:3319
1405	ANKRD44	NA	PP6-ARS-B	ankyrin repeat domain 44	ANKRD44	HGNC:25259
1406	EIF1B	NA	GC20	eukaryotic translation initiation factor 1B	EIF1B	HGNC:30792
1407	MAD2L1	NA	MAD2,HSMAD2	mitotic arrest deficient 2 like 1	MAD2L1	HGNC:6763
1408	RAB8A	MEL	RAB8	RAB8A, member RAS oncogene family	RAB8A	HGNC:7007
1409	HTRA1	PRSS11	HTRA,IGFBP5-PROTEASE,ARMD7	HtrA serine peptidase 1	HTRA1	HGNC:9476
1410	INHBE	NA	ACTIVIN,MGC4638	inhibin subunit beta E	INHBE	HGNC:24029
1411	ADD3	ADDL	NA	adducin 3	ADD3	HGNC:245
1412	CEBPB	TCF5	LAP,CRP2,NFIL6,IL6DBP,C/EBP-BETA	CCAAT enhancer binding protein beta	CEBPB	HGNC:1834
1413	ITGB4	NA	CD104	integrin subunit beta 4	ITGB4	HGNC:6158
1414	EIF3I	EIF3S2	TRIP-1,EIF3-BETA,EIF3-P36,EIF3I	eukaryotic translation initiation factor 3 subunit I	EIF3I	HGNC:3272
1415	NDRG2	NA	KIAA1248,SYLD	NDRG family member 2	NDRG2	HGNC:14460
1416	AFF4	NA	AF5Q31,MCEF	AF4/FMR2 family member 4	AFF4	HGNC:17869
1417	VAMP8	NA	EDB	vesicle associated membrane protein 8	VAMP8	HGNC:12647
1418	CD79A	IGA	MB-1	CD79a molecule	CD79A	HGNC:1698
1419	MEF2B	NA	RSRFR2	myocyte enhancer factor 2B	MEF2B	HGNC:6995
1420	EIF4G1	EIF4G,EIF4F	P220,PARK18	eukaryotic translation initiation factor 4 gamma 1	EIF4G1	HGNC:3296
1421	ARID4A	RBBP1	RBP1,RBP-1	AT-rich interaction domain 4A	ARID4A	HGNC:9885
1422	HTATIP2	NA	TIP30,CC3,FLJ26963,SDR44U1	HIV-1 Tat interactive protein 2	HTATIP2	HGNC:16637
1423	MLLT1	NA	ENL,LTG19,YEATS1	MLLT1, super elongation complex subunit	MLLT1	HGNC:7134
1424	RHOBTB1	NA	KIAA0740	Rho related BTB domain containing 1	RHOBTB1	HGNC:18738
1425	TOP2A	TOP2	NA	DNA topoisomerase II alpha	TOP2A	HGNC:11989
1426	PTPRD	NA	PTPD,HPTP	protein tyrosine phosphatase, receptor type D	PTPRD	HGNC:9668
1427	UQCRC2	NA	QCR2,UQCR2	ubiquinol-cytochrome c reductase core protein 2	UQCRC2	HGNC:12586
1428	DOPEY2	C21ORF5	KIAA0933	dopey family member 2	DOPEY2	HGNC:1291
1429	FGF1	FGFA	AFGF,ECGF,ECGFA,ECGFB,HBGF1,ECGF-BETA,FGF-ALPHA,GLIO703	fibroblast growth factor 1	FGF1	HGNC:3665
1430	GPR68	NA	OGR1	G protein-coupled receptor 68	GPR68	HGNC:4519
1431	ST6GALNAC1	SIAT7A	ST6GALNACI	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	ST6GALNAC1	HGNC:23614
1432	HMGCR	NA	NA	3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR	HGNC:5006
1433	ZBTB16	ZNF145	PLZF	zinc finger and BTB domain containing 16	ZBTB16	HGNC:12930
1434	COTL1	NA	CLP	coactosin like F-actin binding protein 1	COTL1	HGNC:18304
1435	BRD4	NA	HUNKI,MCAP,CAP,HUNK1	bromodomain containing 4	BRD4	HGNC:13575
1436	MMP2	CLG4,CLG4A	TBE-1	matrix metallopeptidase 2	MMP2	HGNC:7166
1437	CRB2	NA	FLJ38464,FLJ16786	crumbs 2, cell polarity complex component	CRB2	HGNC:18688
1438	TRG	TCRG,TRG@	NA	T cell receptor gamma locus	NA	HGNC:12271
1439	ASTN2	NA	KIAA0634	astrotactin 2	ASTN2	HGNC:17021
1440	KEAP1	NA	KIAA0132,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,INRF2,KLHL19	kelch like ECH associated protein 1	KEAP1	HGNC:23177
1441	TIMP2	NA	CSC-21K	TIMP metallopeptidase inhibitor 2	TIMP2	HGNC:11821
1442	PYY	NA	PYY1	peptide YY	PYY	HGNC:9748
1443	ERBB4	NA	ALS19,HER4	erb-b2 receptor tyrosine kinase 4	ERBB4	HGNC:3432
1444	USP24	NA	KIAA1057	ubiquitin specific peptidase 24	USP24	HGNC:12623
1445	SH3BP2	NA	RES4-23,CRBM	SH3 domain binding protein 2	SH3BP2	HGNC:10825
1446	GSK3B	NA	NA	glycogen synthase kinase 3 beta	GSK3B	HGNC:4617
1447	RHOH	ARHH	RHOH,TTF	ras homolog family member H	RHOH	HGNC:686
1448	RECQL5	NA	RECQ5,FLJ90603	RecQ like helicase 5	RECQL5	HGNC:9950
1449	NCOR1	NA	N-COR,HCIT529I10,TRAC1,HN-COR,KIAA1047,MGC104216,PPP1R109	nuclear receptor corepressor 1	NCOR1	HGNC:7672
1450	RUVBL1	NA	TIP49,NMP238,RVB1,TIP49A,PONTIN52,ECP54,TIH1,INO80H	RuvB like AAA ATPase 1	RUVBL1	HGNC:10474
1451	LRRFIP1	NA	FLAP-1,FLIIAP1,TRIP,GCF-2,HUFI-1	LRR binding FLII interacting protein 1	LRRFIP1	HGNC:6702
1452	DKK1	NA	SK,DKK-1	dickkopf WNT signaling pathway inhibitor 1	DKK1	HGNC:2891
1453	SF3B1	NA	SAP155,SF3B155,PRPF10,PRP10,HSH155	splicing factor 3b subunit 1	SF3B1	HGNC:10768
1454	NOTCH4	INT3	NA	notch 4	NOTCH4	HGNC:7884
1455	SSX2	SSX	HOM-MEL-40,HD21,MGC3884,MGC15364,MGC119055,CT5.2A	SSX family member 2	SSX2	HGNC:11336
1456	FANCE	FACE	FAE	Fanconi anemia complementation group E	FANCE	HGNC:3586
1457	MAFB	KRML	NA	MAF bZIP transcription factor B	MAFB	HGNC:6408
1458	PAWR	NA	PAR-4,PAR4	pro-apoptotic WT1 regulator	PAWR	HGNC:8614
1459	RAD51D	RAD51L3	R51H3,TRAD,HSTRAD	RAD51 paralog D	RAD51D	HGNC:9823
1460	MCC	NA	NA	mutated in colorectal cancers	MCC	HGNC:6935
1461	BAX	NA	BCL2L4	BCL2 associated X, apoptosis regulator	BAX	HGNC:959
1462	CSF1R	FMS	C-FMS,CSFR,CD115	colony stimulating factor 1 receptor	CSF1R	HGNC:2433
1463	LTA	TNFB	TNFSF1,LT	lymphotoxin alpha	LTA	HGNC:6709
1464	NEU3	NA	NA	neuraminidase 3	NEU3	HGNC:7760
1465	XRCC6	G22P1	D22S731,D22S671,KU70,ML8	X-ray repair cross complementing 6	XRCC6	HGNC:4055
1466	ACAP1	CENTB1	KIAA0050	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	HGNC:16467
1467	MET	NA	HGFR,RCCP2,DFNB97	MET proto-oncogene, receptor tyrosine kinase	MET	HGNC:7029
1468	SYDE1	NA	7H3,FLJ13511,SYD1	synapse defective Rho GTPase homolog 1	SYDE1	HGNC:25824
1469	GGTA1P	GGTA1	NA	glycoprotein, alpha-galactosyltransferase 1 pseudogene	GGTA1P	HGNC:4253
1470	TNR	NA	NA	tenascin R	TNR	HGNC:11953
1471	WNT3	INT4	MGC131950,MGC138321,MGC138323	Wnt family member 3	WNT3	HGNC:12782
1472	COL16A1	NA	NA	collagen type XVI alpha 1 chain	COL16A1	HGNC:2193
1473	TGFBR2	MFS2	TBRII,TBR-II	transforming growth factor beta receptor 2	TGFBR2	HGNC:11773
1474	LOXL4	NA	FLJ21889,LOXC	lysyl oxidase like 4	LOXL4	HGNC:17171
1475	PARVB	NA	CGI-56	parvin beta	PARVB	HGNC:14653
1476	CXCL3	GRO3	SCYB3,GROG,MIP-2B,CINC-2B	C-X-C motif chemokine ligand 3	CXCL3	HGNC:4604
1477	RASGRP1	NA	CALDAG-GEFII,RASGRP	RAS guanyl releasing protein 1	RASGRP1	HGNC:9878
1478	CNNM4	ACDP4	KIAA1592	cyclin and CBS domain divalent metal cation transport mediator 4	CNNM4	HGNC:105
1479	MAS1	NA	NA	MAS1 proto-oncogene, G protein-coupled receptor	MAS1	HGNC:6899
1480	EGLN1	C1ORF12	SM-20,PHD2,ZMYND6,HIFPH2	egl-9 family hypoxia inducible factor 1	EGLN1	HGNC:1232
1481	BOP1	NA	KIAA0124	block of proliferation 1	BOP1	HGNC:15519
1482	HAPLN1	CRTL1	NA	hyaluronan and proteoglycan link protein 1	HAPLN1	HGNC:2380
1483	ADAMTS1	NA	C3-C5,METH1,KIAA1346	ADAM metallopeptidase with thrombospondin type 1 motif 1	ADAMTS1	HGNC:217
1484	JUNB	NA	NA	JunB proto-oncogene, AP-1 transcription factor subunit	JUNB	HGNC:6205
1485	DIP2C	KIAA0934	NA	disco interacting protein 2 homolog C	DIP2C	HGNC:29150
1486	MANF	ARMET	ARP	mesencephalic astrocyte derived neurotrophic factor	MANF	HGNC:15461
1487	E2F6	NA	E2F-6	E2F transcription factor 6	E2F6	HGNC:3120
1488	NCK1	NCK	NCKALPHA	NCK adaptor protein 1	NCK1	HGNC:7664
1489	IL2RB	IL15RB	CD122	interleukin 2 receptor subunit beta	IL2RB	HGNC:6009
1490	TSPAN1	NA	TSPAN-1,NET-1	tetraspanin 1	TSPAN1	HGNC:20657
1491	GDF15	NA	PLAB,MIC-1,PDF,MIC1,NAG-1,PTGFB	growth differentiation factor 15	GDF15	HGNC:30142
1492	CDKN1B	NA	KIP1,P27KIP1	cyclin dependent kinase inhibitor 1B	CDKN1B	HGNC:1785
1493	PIK3CD	NA	P110D	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	PIK3CD	HGNC:8977
1494	DAPK1	NA	DAPK,ROCO3	death associated protein kinase 1	DAPK1	HGNC:2674
1495	EPOR	NA	NA	erythropoietin receptor	EPOR	HGNC:3416
1496	TFRC	NA	CD71,TFR1,P90	transferrin receptor	TFRC	HGNC:11763
1497	DDIT3	NA	CHOP10,GADD153,CHOP	DNA damage inducible transcript 3	DDIT3	HGNC:2726
1498	ELK3	NA	ERP,NET,SAP2	ELK3, ETS transcription factor	ELK3	HGNC:3325
1499	CDK5	NA	PSSALRE	cyclin dependent kinase 5	CDK5	HGNC:1774
1500	MITF	WS2A,WS2	MI,BHLHE32	melanogenesis associated transcription factor	MITF	HGNC:7105
1501	MYC	NA	C-MYC,BHLHE39,MYCC	MYC proto-oncogene, bHLH transcription factor	MYC	HGNC:7553
1502	SRSF3	SFRS3	SRP20	serine and arginine rich splicing factor 3	SRSF3	HGNC:10785
1503	SLC5A8	NA	AIT	solute carrier family 5 member 8	SLC5A8	HGNC:19119
1504	BCL3	D19S37,BCL4	NA	B cell CLL/lymphoma 3	BCL3	HGNC:998
